Alcohol,Marijuana,Heroin,Cocaine,total_prisoners,State,Alcohol_percentage,Marijuana_percentage,Heroin_percentage,Cocaine_percentage
64,28,12,13,158,Alaska,40.50632911392405,17.72151898734177,7.59493670886076,8.227848101265822
121,77,6,32,413,Alabama,29.297820823244553,18.64406779661017,1.4527845036319613,7.74818401937046
96,87,4,24,364,Arkansas,26.373626373626376,23.9010989010989,1.098901098901099,6.593406593406594
143,74,30,42,479,Arizona,29.853862212943632,15.44885177453027,6.263048016701461,8.768267223382047
499,282,59,98,1725,California,28.92753623188406,16.34782608695652,3.4202898550724634,5.681159420289855
71,39,15,13,238,Colorado,29.831932773109244,16.386554621848738,6.302521008403361,5.46218487394958
105,48,40,30,294,Connecticut,35.714285714285715,16.3265306122449,13.60544217687075,10.204081632653061
29,21,3,10,85,District of Columbia,34.11764705882353,24.705882352941178,3.5294117647058822,11.76470588235294
24,12,18,13,79,Delaware,30.37974683544304,15.18987341772152,22.78481012658228,16.455696202531644
510,343,35,213,1675,Florida,30.447761194029848,20.477611940298505,2.0895522388059704,12.716417910447761
262,246,15,90,1148,Georgia,22.822299651567945,21.428571428571427,1.3066202090592334,7.8397212543554
51,53,10,9,224,Hawaii,22.767857142857142,23.660714285714285,4.464285714285714,4.017857142857143
64,42,6,8,190,Iowa,33.68421052631579,22.105263157894736,3.1578947368421053,4.2105263157894735
24,14,6,3,84,Idaho,28.57142857142857,16.666666666666664,7.142857142857142,3.571428571428571
363,249,65,107,989,Illinois,36.70374115267948,25.176946410515672,6.572295247724974,10.819009100101113
150,118,87,48,554,Indiana,27.075812274368232,21.299638989169676,15.703971119133575,8.664259927797833
49,33,3,7,179,Kansas,27.37430167597765,18.435754189944134,1.675977653631285,3.910614525139665
52,42,11,17,203,Kentucky,25.615763546798032,20.689655172413794,5.41871921182266,8.374384236453201
146,115,31,62,493,Louisiana,29.61460446247465,23.32657200811359,6.288032454361055,12.57606490872211
112,74,48,37,348,Massachusetts,32.18390804597701,21.26436781609195,13.793103448275861,10.632183908045976
147,112,55,52,443,Maryland,33.182844243792324,25.28216704288939,12.415349887133182,11.738148984198645
5,4,1,1,20,Maine,25.0,20.0,5.0,5.0
291,234,43,67,896,Michigan,32.47767857142857,26.11607142857143,4.799107142857143,7.477678571428571
28,24,6,7,112,Minnesota,25.0,21.428571428571427,5.357142857142857,6.25
238,198,65,42,904,Missouri,26.327433628318587,21.902654867256636,7.1902654867256635,4.646017699115045
112,81,10,29,500,Mississippi,22.400000000000002,16.2,2.0,5.800000000000001
12,5,1,1,27,Montana,44.44444444444444,18.51851851851852,3.7037037037037033,3.7037037037037033
253,170,43,101,788,North Carolina,32.10659898477157,21.573604060913706,5.456852791878172,12.81725888324873
5,4,1,1,15,North Dakota,33.33333333333333,26.666666666666668,6.666666666666667,6.666666666666667
40,23,0,8,102,Nebraska,39.21568627450981,22.54901960784314,0.0,7.8431372549019605
1,0,1,1,12,New Hampshire,8.333333333333332,0.0,8.333333333333332,8.333333333333332
62,46,16,17,239,New Jersey,25.94142259414226,19.246861924686193,6.694560669456067,7.112970711297072
44,31,22,8,197,New Mexico,22.33502538071066,15.736040609137056,11.16751269035533,4.060913705583756
84,59,22,18,311,Nevada,27.009646302250808,18.971061093247588,7.07395498392283,5.787781350482315
259,182,58,101,945,New York,27.40740740740741,19.25925925925926,6.137566137566138,10.687830687830688
299,225,127,126,1052,Ohio,28.422053231939167,21.38783269961977,12.072243346007605,11.977186311787072
99,67,4,27,344,Oklahoma,28.77906976744186,19.476744186046513,1.1627906976744187,7.848837209302325
112,50,34,15,343,Oregon,32.6530612244898,14.577259475218659,9.912536443148689,4.373177842565598
358,236,121,108,1328,Pennsylvania,26.957831325301207,17.771084337349397,9.11144578313253,8.132530120481928
18,19,1,4,91,,19.78021978021978,20.87912087912088,1.098901098901099,4.395604395604396
4,4,2,2,19,Rhode Island,21.052631578947366,21.052631578947366,10.526315789473683,10.526315789473683
140,115,17,48,476,South Carolina,29.411764705882355,24.159663865546218,3.571428571428571,10.084033613445378
60,39,2,8,150,South Dakota,40.0,26.0,1.3333333333333335,5.333333333333334
164,128,20,74,556,Tennessee,29.496402877697843,23.021582733812952,3.597122302158273,13.309352517985612
774,471,79,231,2752,Texas,28.125,17.114825581395348,2.870639534883721,8.393895348837209
21,11,17,6,97,Utah,21.649484536082475,11.34020618556701,17.525773195876287,6.185567010309279
240,151,67,88,795,Virginia,30.18867924528302,18.9937106918239,8.427672955974842,11.069182389937108
20,10,10,6,57,Vermont,35.08771929824561,17.543859649122805,17.543859649122805,10.526315789473683
74,38,36,11,299,Washington,24.74916387959866,12.709030100334449,12.040133779264215,3.678929765886288
165,104,56,41,478,Wisconsin,34.51882845188285,21.75732217573222,11.715481171548117,8.577405857740587
44,27,20,13,167,West Virginia,26.34730538922156,16.16766467065868,11.976047904191617,7.784431137724551
11,5,4,1,31,Wyoming,35.483870967741936,16.129032258064516,12.903225806451612,3.225806451612903
